,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,1
24,1
25,1
26,1
27,0
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,0
37,1
38,1
39,1
40,1
41,0
42,1
43,1
44,1
45,1
46,1
47,1
48,0
49,1
50,1
51,1
52,1
53,1
54,1
55,0
56,0
57,0
58,0
59,1
60,1
61,0
62,1
63,1
64,0
65,0
66,1
67,0
68,0
69,0
70,1
71,1
72,1
73,1
74,1
75,1
76,0
77,0
78,1
79,0
80,1
81,1
82,1
83,0
84,1
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,1
94,1
95,0
96,0
97,0
98,0
99,0
100,0
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,0
116,0
117,1
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,1
135,1
136,1
137,0
138,0
139,1
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,1
157,1
158,1
159,0
160,1
161,1
162,1
163,0
164,1
165,1
166,1
167,0
168,1
169,1
170,1
171,0
172,0
173,0
174,1
175,0
176,0
177,1
178,1
179,0
180,0
181,0
182,1
183,0
184,1
185,1
186,1
187,0
188,0
189,0
190,1
191,1
192,0
193,1
194,1
195,0
196,1
197,0
198,1
199,0
200,0
201,0
202,1
203,0
204,1
205,1
206,1
207,0
208,0
209,0
210,0
211,1
212,0
213,1
214,1
215,1
216,1
217,0
218,0
219,0
220,0
221,0
222,1
223,1
224,1
225,1
226,1
227,0
228,0
229,0
230,0
231,1
232,0
233,1
234,1
235,1
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,1
278,1
